latitude,longitude,bikes_available
23.06466,120.174,9
23.13015,120.30167,14
23.24275,120.32079,5
22.93306,120.18056,7
23.27818,120.31721,3
23.30936,120.31606,2
22.99752,120.20227,13
22.924791,120.294547,3
23.23108,120.18135,12
23.00108,120.21824,5
22.99114,120.22462,10
23.00092,120.24631,5
23.3079,120.31223,5
23.31651,120.32858,8
23.18361,120.24694,4
22.99055,120.18283,2
23.00301,120.16089,7
23.01563,120.19688,8
23.30503,120.30632,6
22.92629,120.28519,7
23.00022,120.22232,24
23.11342,120.30522,8
22.97682,120.20046,15
22.97955,120.19809,4
22.99148,120.16704,19
22.99996,120.23772,3
23.0193,120.22486,10
23.12919,120.29545,3
23.03371,120.29797,4
22.99317,120.214662,2
23.00055,120.1879,4
23.36703,120.36656,6
23.30174,120.3012,10
23.02054,120.22876,5
22.9843,120.16984,22
22.99098,120.19957,8
23.30933,120.30762,8
23.04617,120.18795,8
23.1846,120.26783,6
22.99838,120.2396,9
23.17962,120.48451,9
23.1236,120.46874,7
22.98914,120.23918,8
23.02736,120.33519,5
22.99602,120.22216,7
23.03325,120.19312,13
22.99671,120.19705,0
23.00088,120.19879,10
23.05776,120.15012,3
23.16319,120.17271,7
22.99755,120.1709,6
22.97737,120.21982,1
22.92754,120.24305,7
23.12835,120.32039,4
23.03355,120.30926,4
23.1395,120.31664,6
23.32361,120.26495,5
22.99657,120.2158,7
22.96042,120.22323,8
23.30561,120.30851,5
23.00665,120.2242,23
22.93491,120.18588,21
23.02196,120.18479,6
23.00503,120.20803,0
23.3232,120.2685,8
22.98257,120.20163,3
22.98877,120.16009,10
23.0384,120.21321,6
23.03009,120.21097,4
22.9892,120.20452,0
23.30565,120.29342,6
22.93285,120.18887,5
23.01903,120.27526,10
22.99291,120.15681,8
23.11905,120.35662,3
23.15375,120.10398,3
22.98155,120.19737,10
22.99653,120.21491,7
23.2287,120.1818,6
23.19143,120.31542,3
23.03822,120.31878,0
22.98739,120.22292,1
23.19287,120.31995,11
23.00013,120.21234,11
22.97497,120.20288,12
22.99013,120.20049,19
22.988,120.24523,6
23.02652,120.25859,9
22.97664,120.25437,5
23.11678,120.2022,5
23.0385,120.2606,5
23.01391,120.20453,6
22.97987,120.22414,6
23.02054,120.26159,7
23.04196,120.47762,4
23.003997,120.200593,31
22.99737,120.17677,10
23.04647,120.24577,13
23.00594,120.21618,11
22.99879,120.15029,1
23.00161,120.18784,6
22.97863,120.2467,4
23.06581,120.22005,6
22.97705,120.23231,15
23.03514,120.32955,3
22.97818,120.20157,6
22.9756,120.24647,12
22.99949,120.17576,12
22.98615,120.19475,4
23.02021,120.20566,3
22.99833,120.23606,2
23.0366,120.12509,6
22.98218,120.24588,5
22.99448,120.18859,15
23.22062,120.33069,4
22.90757,120.27302,22
23.00958,120.20561,10
22.99765,120.22444,2
23.27758,120.32245,6
22.99308,120.19592,5
23.12383,120.31082,8
22.99246,120.23623,7
22.99109,120.22115,5
22.96154,120.18743,9
22.9848,120.21966,14
22.96848,120.25846,7
23.00049,120.15375,8
23.12304,120.20315,7
23.12397,120.46033,8
23.03856,120.18768,9
23.17496,120.18033,9
23.00639,120.19649,8
23.02569,120.25575,5
23.30899,120.32021,10
23.01701,120.19788,9
22.92231,120.22728,29
22.99848,120.20542,3
22.99369,120.20307,6
22.96167,120.23038,10
23.02208,120.23582,9
23.02498,120.17736,12
23.0025,120.17756,15
23.23582,120.25789,0
23.03828,120.23324,2
22.99601,120.20977,15
22.98652,120.24639,0
22.98198,120.20708,8
22.99948,120.21273,7
23.00385,120.18189,12
22.99123,120.1956,14
22.97835,120.20729,7
23.01921,120.26022,9
23.19249,120.31913,16
23.18817,120.33738,4
23.03414,120.21322,7
23.30216,120.31077,8
23.03432,120.22924,5
23.18567,120.23921,13
22.98929,120.23116,30
23.00176,120.20932,6
22.98139,120.21782,4
23.02525,120.19753,13
23.01736,120.20931,10
23.12313,120.3144,5
23.00944,120.22022,11
23.02246,120.2336,10
23.31844,120.31932,12
23.18694,120.25341,4
23.10779,120.30222,9
23.04627,120.21619,9
22.98634,120.15221,2
23.00884,120.18303,15
23.01561,120.26319,9
23.03919,120.23957,16
22.96862,120.22232,10
23.12247,120.45903,4
23.31967,120.30895,10
22.98022,120.18963,9
23.10788,120.30206,1
23.29577,120.27357,5
23.0132,120.22393,6
23.12499,120.25136,3
23.12538,120.46208,3
22.95722,120.34072,3
22.95211,120.33201,14
23.03737,120.18331,6
23.10799,120.26996,3
23.35297,120.41243,2
23.04265,120.19642,6
23.0028,120.22037,17
23.31582,120.31185,8
22.99182,120.29319,8
22.98996,120.17875,15
22.93058,120.17631,12
23.19216,120.09033,3
22.90796,120.25056,11
22.96209,120.23633,0
23.02506,120.23797,4
22.96863,120.22439,2
22.93625,120.22868,12
22.99667,120.16381,0
22.985,120.21089,7
22.98633,120.19201,11
23.31021,120.31074,4
23.00533,120.24523,0
23.19098,120.27123,3
22.99706,120.21,27
23.31392,120.31668,2
23.023781,120.252891,13
23.0151,120.18948,9
23.09707,120.35986,4
23.12098,120.23655,7
23.06391,120.16123,11
22.96897,120.22558,5
22.92226,120.28535,1
22.99229,120.17117,6
23.22549,120.35074,0
23.06276,120.20785,4
22.96469,120.21999,8
22.9779,120.23104,8
23.01205,120.21663,13
23.30676,120.31617,6
22.96443,120.29823,0
23.02277,120.22054,1
23.06361,120.38913,4
23.02043,120.20713,8
22.96601,120.18523,8
23.31511,120.32299,10
22.9864,120.20419,1
23.02265,120.22213,7
22.98301,120.24189,5
23.01028,120.21164,14
23.02082,120.2223,2
23.01182,120.19377,14
22.9854,120.18636,10
23.311052,120.314624,3
22.99219,120.18871,10
22.99827,120.25339,12
23.12927,120.2878,7
23.01324,120.22962,0
23.30258,120.31371,9
22.99196,120.27016,13
22.99271,120.21789,3
23.09865,120.28203,9
23.07883,120.29502,11
22.9414,120.17836,4
23.29815,120.31505,9
23.00818,120.20264,7
23.10427,120.29008,14
23.01551,120.22019,6
23.32367,120.27097,3
23.03562,120.31153,20
23.21307,120.3646,8
23.068344,120.290217,4
23.302,120.29562,0
23.36593,120.36048,10
23.01868,120.20496,7
23.31853,120.32144,5
22.99921,120.18458,7
23.01927,120.13589,8
23.1228,120.35395,6
